Bifaciality Factor,Albedo,Tracking Strategy,Annual Bifacial Ratio,Annual Front Side (W/m2),Annual Back Side (W/m2),Filename
0.0,0.7,80pct,0.0,610.41175,0.0,bifaciality_factor_analysis_80pct.csv
0.05,0.7,80pct,0.0015000417750805,610.41175,18.3128625,bifaciality_factor_analysis_80pct.csv
0.1,0.7,80pct,0.006000167100322,610.41175,36.625725,bifaciality_factor_analysis_80pct.csv
0.15,0.7,80pct,0.0135003759757245,610.41175,54.93858750000001,bifaciality_factor_analysis_80pct.csv
0.2,0.7,80pct,0.0240006684012881,610.41175,73.25145,bifaciality_factor_analysis_80pct.csv
0.25,0.7,80pct,0.0375010443770127,610.41175,91.5643125,bifaciality_factor_analysis_80pct.csv
0.3,0.7,80pct,0.0540015039028983,610.41175,109.87717500000002,bifaciality_factor_analysis_80pct.csv
0.35,0.7,80pct,0.0735020469789449,610.41175,128.19003750000002,bifaciality_factor_analysis_80pct.csv
0.4,0.7,80pct,0.0960026736051526,610.41175,146.5029,bifaciality_factor_analysis_80pct.csv
0.45,0.7,80pct,0.1215033837815212,610.41175,164.8157625,bifaciality_factor_analysis_80pct.csv
0.5,0.7,80pct,0.1500041775080509,610.41175,183.128625,bifaciality_factor_analysis_80pct.csv
0.55,0.7,80pct,0.1815050547847416,610.41175,201.4414875,bifaciality_factor_analysis_80pct.csv
0.6000000000000001,0.7,80pct,0.2160060156115934,610.41175,219.75435000000004,bifaciality_factor_analysis_80pct.csv
0.65,0.7,80pct,0.253507059988606,610.41175,238.0672125,bifaciality_factor_analysis_80pct.csv
0.7000000000000001,0.7,80pct,0.2940081879157799,610.41175,256.38007500000003,bifaciality_factor_analysis_80pct.csv
0.75,0.7,80pct,0.3375093993931145,610.41175,274.6929375,bifaciality_factor_analysis_80pct.csv
0.8,0.7,80pct,0.3840106944206104,610.41175,293.0058,bifaciality_factor_analysis_80pct.csv
0.8500000000000001,0.7,80pct,0.4335120729982672,610.41175,311.3186625,bifaciality_factor_analysis_80pct.csv
0.9,0.7,80pct,0.486013535126085,610.41175,329.631525,bifaciality_factor_analysis_80pct.csv
0.95,0.7,80pct,0.5415150808040639,610.41175,347.9443875,bifaciality_factor_analysis_80pct.csv
1.0,0.7,80pct,0.6000167100322037,610.41175,366.25725,bifaciality_factor_analysis_80pct.csv
0.0,0.7,plus5,0.0,569.0815,0.0,bifaciality_factor_analysis_plus5.csv
0.05,0.7,plus5,0.0016177087552485,569.0815,18.4121625,bifaciality_factor_analysis_plus5.csv
0.1,0.7,plus5,0.0064708350209943,569.0815,36.824325,bifaciality_factor_analysis_plus5.csv
0.15,0.7,plus5,0.0145593787972373,569.0815,55.23648750000001,bifaciality_factor_analysis_plus5.csv
0.2,0.7,plus5,0.0258833400839774,569.0815,73.64865,bifaciality_factor_analysis_plus5.csv
0.25,0.7,plus5,0.0404427188812147,569.0815,92.0608125,bifaciality_factor_analysis_plus5.csv
0.3,0.7,plus5,0.0582375151889492,569.0815,110.47297500000002,bifaciality_factor_analysis_plus5.csv
0.35,0.7,plus5,0.0792677290071808,569.0815,128.8851375,bifaciality_factor_analysis_plus5.csv
0.4,0.7,plus5,0.1035333603359097,569.0815,147.2973,bifaciality_factor_analysis_plus5.csv
0.45,0.7,plus5,0.1310344091751357,569.0815,165.7094625,bifaciality_factor_analysis_plus5.csv
0.5,0.7,plus5,0.1617708755248589,569.0815,184.121625,bifaciality_factor_analysis_plus5.csv
0.55,0.7,plus5,0.1957427593850793,569.0815,202.5337875,bifaciality_factor_analysis_plus5.csv
0.6000000000000001,0.7,plus5,0.2329500607557969,569.0815,220.94595000000004,bifaciality_factor_analysis_plus5.csv
0.65,0.7,plus5,0.2733927796370116,569.0815,239.3581125,bifaciality_factor_analysis_plus5.csv
0.7000000000000001,0.7,plus5,0.3170709160287235,569.0815,257.770275,bifaciality_factor_analysis_plus5.csv
0.75,0.7,plus5,0.3639844699309325,569.0815,276.1824375,bifaciality_factor_analysis_plus5.csv
0.8,0.7,plus5,0.4141334413436389,569.0815,294.5946,bifaciality_factor_analysis_plus5.csv
0.8500000000000001,0.7,plus5,0.4675178302668423,569.0815,313.00676250000004,bifaciality_factor_analysis_plus5.csv
0.9,0.7,plus5,0.5241376367005429,569.0815,331.418925,bifaciality_factor_analysis_plus5.csv
0.95,0.7,plus5,0.5839928606447408,569.0815,349.8310875,bifaciality_factor_analysis_plus5.csv
1.0,0.7,plus5,0.6470835020994357,569.0815,368.24325,bifaciality_factor_analysis_plus5.csv
